x,y_pchip
123.23985216699074,0.9750181143151622
124.82608625716395,0.9985479732169757
126.41232034733714,1.0213555474480431
127.99855443751035,1.0450152217630146
129.58478852768354,1.0691677584279717
131.17102261785675,1.0936994266791582
132.75725670802996,1.1189987907173988
134.34349079820316,1.1416021823368026
135.92972488837637,1.1688316850329732
137.51595897854958,1.1947636585442678
139.10219306872278,1.220479593015114
140.68842715889596,1.2465687335526359
142.27466124906917,1.2728975834184917
143.86089533924238,1.300370591206001
145.44712942941558,1.327003812756479
147.0333635195888,1.3555555228179839
148.619597609762,1.3833724589932967
150.20583169993517,1.4109296735057721
151.79206579010838,1.4393998552279954
153.3782998802816,1.4688543213996932
154.9645339704548,1.498166994693519
156.550768060628,1.5304942744612118
158.1370021508012,1.557302964126576
159.72323624097442,1.58653989600811
161.30947033114762,1.619438005796322
162.8957044213208,1.6511960554698288
164.481938511494,1.6798923228783178
166.06817260166721,1.7152426503610512
167.65440669184042,1.7508950884165977
169.24064078201363,1.78342969625412
170.8268748721868,1.813197773881626
172.41310896236,1.8441723515304893
173.99934305253322,1.8797722511791881
175.58557714270643,1.9136188490359305
177.17181123287963,1.9496381898688502
178.75804532305284,1.9831837261511591
180.34427941322605,2.01798114637768
181.93051350339925,2.0540946146881875
183.51674759357243,2.089807447997313
185.10298168374564,2.125083792262139
186.68921577391885,2.161865706336645
188.27544986409205,2.19382620044362
189.86168395426526,2.229675358717503
191.44791804443844,2.266070709924521
193.03415213461165,2.3013719215836135
194.62038622478485,2.337289432550788
196.20662031495806,2.3732017059390085
197.79285440513127,2.4117521151392634
199.37908849530447,2.449124888433712
200.96532258547768,2.486646898217857
202.5515566756509,2.524868530498556
204.1377907658241,2.5632942984014515
205.7240248559973,2.600973398630323
207.31025894617048,2.6374053405417746
208.89649303634368,2.6756643927992423
210.4827271265169,2.7156286516222976
212.06896121669007,2.752724511958322
213.65519530686328,2.7882510566984497
215.24142939703648,2.8259832162440954
216.8276634872097,2.8652253009709456
218.4138975773829,2.9022688140184294
220.0001316675561,2.941700323795147
221.5863657577293,2.981444930162351
223.17259984790252,3.0226413086021435
224.75883393807572,3.0622711342161373
226.34506802824893,3.097115608949104
227.9313021184221,3.140670932276669
229.51753620859532,3.182552015974292
231.10377029876852,3.221747995418704
232.69000438894173,3.2607794712625533
234.2762384791149,3.2998504476768233
235.86247256928812,3.338243941255426
237.44870665946132,3.3771622298344206
239.03494074963453,3.4206726628900475
240.62117483980774,3.4615304463563503
242.20740892998094,3.500713658949654
243.79364302015415,3.5460522677363273
245.37987711032736,3.5927770480628327
246.96611120050056,3.63121150463273
248.55234529067377,3.6766374099159855
250.13857938084695,3.72181479876531
251.72481347102016,3.7650210234749775
253.31104756119336,3.809436790958444
254.89728165136657,3.8561769204460643
256.4835157415398,3.905763024690477
258.06974983171295,3.9587991768865254
259.65598392188616,4.0082635722636315
261.24221801205937,4.059315316822813
262.8284521022326,4.1073682892759
264.4146861924058,4.158102558734211
266.000920282579,4.211250362951485
267.58715437275214,4.26186734604503
269.17338846292535,4.312821563925439
270.75962255309855,4.370919298271174
272.34585664327176,4.42723780410184
273.93209073344497,4.485199105428275
275.5183248236182,4.542848908775465
277.1045589137914,4.599241193381654
278.6907930039646,4.657492375589655
280.2770270941378,4.715563279540468
281.863261184311,4.77400842789733
283.4494952744842,4.83541737252231
285.0357293646574,4.896317961113912
286.6219634548306,4.9570397513409645
288.2081975450038,5.020370053602537
289.79443163517703,5.085827474816355
291.38066572535024,5.151143186785075
292.96689981552345,5.215912798014244
294.55313390569665,5.279912833705923
296.13936799586986,5.344544813376567
297.72560208604307,5.41169046925696
299.3118361762163,5.481872790740361
300.8980702663894,5.551719834081426
302.48430435656263,5.621517227575239
304.07053844673584,5.691654171511129
305.65677253690905,5.763816440609768
307.24300662708225,5.836595789473775
308.82924071725546,5.908381297756445
310.4154748074286,5.980962436839759
312.0017088976018,6.055509424587371
313.587942987775,6.127781974558122
315.17417707794823,6.203567708156641
316.76041116812144,6.283204192424295
318.34664525829464,6.36447037896532
319.93287934846785,6.445243672280229
321.51911343864106,6.5247885900173985
323.10534752881426,6.60718545101267
324.69158161898747,6.686717547112835
326.2778157091607,6.766081388465198
327.8640497993339,6.848097719776343
329.4502838895071,6.93255839714087
331.0365179796803,7.015964309537903
332.6227520698535,7.097641765213635
334.2089861600267,7.176553355786153
335.7952202501999,7.258009809781417
337.3814543403731,7.343360810468723
338.96768843054633,7.428954563537126
340.55392252071954,7.510930561575648
342.14015661089275,7.592485601079409
343.7263907010659,7.676425352789315
345.3126247912391,7.763617102853298
346.8988588814123,7.849440541525744
348.4850929715855,7.934767931628173
350.0713270617587,8.02066528513974
351.65756115193193,8.10564226925811
353.2437952421051,8.19364810261852
354.8300293322783,8.28835553016025
356.4162634224515,8.380237721398627
358.0024975126247,8.469584837752956
359.5887316027979,8.559066240766867
361.1749656929711,8.649431688316593
362.7611997831443,8.738115391568114
364.3474338733175,8.827750424361087
365.93366796349073,8.916880880535745
367.51990205366394,9.01318758116131
369.10613614383715,9.108756657823387
370.69237023401035,9.198271836060263
372.27860432418356,9.287997682708806
373.86483841435677,9.38468775246371
375.45107250453,9.482263960399301
377.0373065947032,9.580563167580845
378.6235406848764,9.679896250151723
380.2097747750496,9.780210216502978
381.7960088652228,9.880363708753977
383.382242955396,9.978968268224452
384.9684770455692,10.082917466907157
386.5547111357424,10.184934855241243
388.14094522591563,10.288005590490604
389.72717931608884,10.388781406327183
391.31341340626193,10.487782781476518
392.89964749643514,10.59043144134435
